epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5057,0.79035,0.41921,0.8932,0.96719,0.91871,0.94669,0.74662,0.90201,0.45067,0.96059,0.000248547,0.000248547,0.00527762
2,96.6248,0.79062,0.4155,0.89276,0.96894,0.9221,0.95,0.74129,0.91547,0.4471,0.96133,0.00048359,0.00048359,0.00051266
3,140.582,0.78575,0.40562,0.89086,0.96569,0.92406,0.9494,0.75006,0.89887,0.44411,0.95742,0.00047,0.00047,0.00047
4,184.165,0.77523,0.39746,0.88793,0.96764,0.92162,0.95016,0.7504,0.89141,0.43938,0.95549,0.000455,0.000455,0.000455
5,227.986,0.76766,0.39499,0.89028,0.96839,0.92029,0.94874,0.74608,0.89463,0.43769,0.95523,0.00044,0.00044,0.00044
6,271.434,0.77299,0.39423,0.88976,0.96852,0.92096,0.94977,0.75301,0.88858,0.43561,0.9548,0.000425,0.000425,0.000425
7,315,0.76662,0.39274,0.88572,0.96726,0.91805,0.9475,0.74277,0.89984,0.43497,0.95476,0.00041,0.00041,0.00041
8,357.591,0.76127,0.38913,0.88563,0.96779,0.91894,0.94877,0.75069,0.88364,0.43218,0.95308,0.000395,0.000395,0.000395
9,400.752,0.76106,0.38687,0.88405,0.96824,0.92132,0.95082,0.74769,0.88834,0.43119,0.9536,0.00038,0.00038,0.00038
10,442.933,0.76594,0.38847,0.88476,0.96781,0.92054,0.95059,0.75054,0.88683,0.43073,0.95284,0.000365,0.000365,0.000365
11,485.55,0.76322,0.39058,0.88741,0.96828,0.91273,0.94436,0.74966,0.87757,0.42884,0.95307,0.00035,0.00035,0.00035
12,528.738,0.75702,0.38494,0.88546,0.96867,0.92529,0.9546,0.75592,0.88563,0.42866,0.95311,0.000335,0.000335,0.000335
13,571.705,0.76621,0.39182,0.88574,0.96937,0.91487,0.94704,0.75126,0.88002,0.42742,0.95182,0.00032,0.00032,0.00032
14,614.327,0.74949,0.38228,0.88461,0.96973,0.91839,0.94943,0.75398,0.87996,0.42667,0.95155,0.000305,0.000305,0.000305
15,658.246,0.75911,0.38743,0.8865,0.97019,0.91285,0.94525,0.75284,0.8758,0.42702,0.95211,0.00029,0.00029,0.00029
16,700.656,0.74999,0.37847,0.88266,0.97095,0.92004,0.95143,0.75077,0.88829,0.42742,0.95172,0.000275,0.000275,0.000275
17,744.442,0.74327,0.37492,0.87838,0.97059,0.91545,0.94793,0.75559,0.8747,0.42389,0.95098,0.00026,0.00026,0.00026
18,787.38,0.75333,0.38295,0.88524,0.97079,0.91839,0.95068,0.75193,0.88334,0.42648,0.95033,0.000245,0.000245,0.000245
19,828.6,0.75014,0.37986,0.88257,0.968,0.91887,0.94987,0.75682,0.87301,0.42351,0.9499,0.00023,0.00023,0.00023
20,872.109,0.75161,0.37739,0.87888,0.96894,0.92038,0.95052,0.75479,0.8753,0.42392,0.95048,0.000215,0.000215,0.000215
21,915.692,0.7522,0.37712,0.88419,0.96939,0.91702,0.94752,0.75103,0.88162,0.42415,0.9511,0.0002,0.0002,0.0002
22,957.899,0.74814,0.3806,0.88494,0.96884,0.91948,0.94918,0.75433,0.87947,0.42471,0.95088,0.000185,0.000185,0.000185
23,1001.08,0.74435,0.37427,0.88258,0.9713,0.91832,0.94918,0.7548,0.87317,0.42271,0.9501,0.00017,0.00017,0.00017
24,1044.03,0.74607,0.37774,0.87945,0.97074,0.9186,0.95016,0.7539,0.87827,0.42325,0.95002,0.000155,0.000155,0.000155
25,1083.78,0.74555,0.37371,0.88145,0.97054,0.91992,0.94968,0.75606,0.87062,0.42124,0.95009,0.00014,0.00014,0.00014
26,1133.72,0.74334,0.3661,0.88368,0.96961,0.91984,0.94927,0.75347,0.87444,0.42242,0.94951,0.000125,0.000125,0.000125
