epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6154,1.92258,3.27652,1.28551,0.32362,0.2427,0.21684,0.13898,1.38383,1.93664,1.11385,0.000248611,0.000248611,0.00527639
2,116.193,1.31459,1.71701,1.04584,0.60389,0.54657,0.54879,0.3707,1.20711,1.28376,1.04931,0.000483653,0.000483653,0.000511431
3,168.129,1.18472,1.14722,1.00303,0.80861,0.71821,0.77067,0.53395,1.13485,0.93243,1.04128,0.00047,0.00047,0.00047
4,222.625,1.14547,0.90912,0.98857,0.84922,0.7883,0.82384,0.55428,1.17981,0.79331,1.05205,0.000455,0.000455,0.000455
5,397.391,1.10069,0.80582,0.97387,0.8709,0.83502,0.86781,0.59201,1.1241,0.73768,1.01999,0.00044,0.00044,0.00044
6,474.326,1.0752,0.75184,0.96202,0.88641,0.85152,0.89012,0.6271,1.16496,0.68816,1.03366,0.000425,0.000425,0.000425
7,526.659,1.03922,0.71002,0.9545,0.89255,0.82986,0.87143,0.63969,1.06167,0.66788,0.99154,0.00041,0.00041,0.00041
8,578.997,1.03783,0.689,0.95487,0.90027,0.8547,0.89776,0.64629,1.04588,0.64557,0.99086,0.000395,0.000395,0.000395
9,666.776,1.01582,0.65854,0.94267,0.91758,0.86575,0.91135,0.66535,1.03486,0.60423,0.98795,0.00038,0.00038,0.00038
10,712.473,1.00257,0.63717,0.9374,0.92213,0.86989,0.91277,0.67225,1.01781,0.60378,0.98685,0.000365,0.000365,0.000365
11,758.078,0.97603,0.60675,0.92961,0.91225,0.8812,0.91482,0.67635,0.9861,0.57408,0.9693,0.00035,0.00035,0.00035
12,803.688,0.96403,0.5995,0.92112,0.90982,0.88065,0.90801,0.67087,1.04174,0.57518,0.98841,0.000335,0.000335,0.000335
13,850.59,0.94298,0.57959,0.92011,0.91383,0.89289,0.92148,0.6835,1.04342,0.58015,0.98688,0.00032,0.00032,0.00032
14,896.568,0.94466,0.57308,0.91792,0.92734,0.88763,0.92053,0.69164,0.98254,0.54972,0.96556,0.000305,0.000305,0.000305
15,944.748,0.92969,0.55496,0.91665,0.92719,0.89324,0.92172,0.66416,1.0834,0.56632,0.9882,0.00029,0.00029,0.00029
16,993.301,0.92091,0.54909,0.91061,0.93712,0.90083,0.93067,0.70004,0.95621,0.52785,0.95952,0.000275,0.000275,0.000275
17,1040.74,0.92102,0.54284,0.91229,0.92376,0.90003,0.92863,0.7001,1.01199,0.54033,0.96829,0.00026,0.00026,0.00026
18,1087.16,0.90981,0.53746,0.91212,0.93016,0.90682,0.93203,0.70716,0.98994,0.53434,0.96469,0.000245,0.000245,0.000245
19,1133.94,0.89927,0.52749,0.90757,0.93128,0.90177,0.93231,0.71711,0.95062,0.51282,0.95217,0.00023,0.00023,0.00023
20,1180.17,0.90236,0.52115,0.91235,0.93786,0.90138,0.93518,0.71954,0.99267,0.50955,0.97004,0.000215,0.000215,0.000215
21,1227.72,0.88322,0.50967,0.90305,0.93001,0.91069,0.93445,0.70425,0.97525,0.51086,0.95603,0.0002,0.0002,0.0002
22,1275.16,0.87171,0.50553,0.90237,0.9249,0.88115,0.92214,0.70917,0.95517,0.5026,0.95435,0.000185,0.000185,0.000185
23,1322.37,0.86238,0.49949,0.89755,0.93692,0.89173,0.93184,0.72996,0.95231,0.49739,0.9533,0.00017,0.00017,0.00017
24,1370.03,0.86111,0.49367,0.89541,0.93273,0.90666,0.93561,0.72658,0.92757,0.4854,0.94197,0.000155,0.000155,0.000155
25,1416.92,0.84879,0.48425,0.89225,0.94615,0.91366,0.93943,0.71906,0.94593,0.48165,0.94327,0.00014,0.00014,0.00014
26,1474.7,0.81859,0.45856,0.88644,0.93944,0.91823,0.94472,0.7368,0.9461,0.47685,0.94675,0.000125,0.000125,0.000125
27,1522.93,0.80724,0.44086,0.88294,0.95112,0.91749,0.94529,0.74201,0.95602,0.46998,0.95207,0.00011,0.00011,0.00011
28,1570.37,0.79983,0.44429,0.88038,0.95063,0.91092,0.94368,0.73783,0.92507,0.47279,0.94108,9.5e-05,9.5e-05,9.5e-05
29,1617.67,0.79449,0.43475,0.87767,0.95329,0.91498,0.94323,0.74412,0.94325,0.46929,0.95118,8e-05,8e-05,8e-05
30,1665.38,0.79308,0.43307,0.87665,0.94839,0.91623,0.94283,0.73723,0.93688,0.46674,0.94561,6.5e-05,6.5e-05,6.5e-05
