epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3585,0.89109,0.51433,0.90688,0.95619,0.91089,0.9522,0.76259,0.85866,0.45004,0.91808,0.000247222,0.000247222,0.00530278
2,151.625,0.83408,0.46643,0.89012,0.95407,0.92074,0.95548,0.77109,0.83564,0.43561,0.91041,0.000482306,0.000482306,0.000537861
3,272.614,0.83794,0.46321,0.89153,0.95453,0.92463,0.95665,0.7741,0.83398,0.42628,0.90699,0.00047,0.00047,0.00047
4,357.105,0.82377,0.4527,0.88816,0.95975,0.92532,0.95809,0.77343,0.82618,0.42082,0.90313,0.000455,0.000455,0.000455
5,444.831,0.80801,0.43552,0.8842,0.95476,0.93014,0.95723,0.779,0.80757,0.41434,0.90369,0.00044,0.00044,0.00044
6,539.925,0.80877,0.43707,0.88112,0.95508,0.93107,0.95857,0.78433,0.79706,0.40834,0.90249,0.000425,0.000425,0.000425
7,664.261,0.80132,0.43615,0.88121,0.95153,0.92925,0.95549,0.781,0.81535,0.41625,0.90779,0.00041,0.00041,0.00041
8,748.666,0.78911,0.4262,0.88108,0.96204,0.92826,0.95958,0.77204,0.82562,0.41553,0.90492,0.000395,0.000395,0.000395
9,835.529,0.79173,0.42592,0.88118,0.96089,0.92208,0.95754,0.78547,0.79356,0.40576,0.90266,0.00038,0.00038,0.00038
10,949.163,0.79369,0.42191,0.88047,0.96507,0.92744,0.96108,0.78371,0.79474,0.40162,0.89898,0.000365,0.000365,0.000365
11,1345.89,0.7888,0.42515,0.87814,0.962,0.93104,0.95986,0.78699,0.78986,0.40235,0.90123,0.00035,0.00035,0.00035
12,1422.34,0.78747,0.42146,0.87628,0.96168,0.93214,0.9611,0.77783,0.83833,0.40873,0.90605,0.000335,0.000335,0.000335
13,1676.01,0.78215,0.42018,0.87589,0.96336,0.92739,0.95858,0.78495,0.80749,0.40386,0.90609,0.00032,0.00032,0.00032
14,1747.7,0.77419,0.41113,0.87251,0.9578,0.93679,0.96126,0.78043,0.81608,0.40197,0.90203,0.000305,0.000305,0.000305
15,1822,0.77285,0.40924,0.87474,0.96615,0.93038,0.96054,0.7925,0.78264,0.39455,0.89963,0.00029,0.00029,0.00029
16,1907.59,0.77164,0.41403,0.87456,0.96424,0.9356,0.96167,0.79063,0.79381,0.39619,0.89849,0.000275,0.000275,0.000275
17,2169.47,0.76992,0.4064,0.87299,0.96602,0.93167,0.96088,0.79254,0.77905,0.39371,0.89707,0.00026,0.00026,0.00026
18,2257.14,0.76783,0.40666,0.87168,0.96297,0.93525,0.96104,0.78979,0.79115,0.39478,0.8984,0.000245,0.000245,0.000245
19,2381.57,0.76536,0.40746,0.87135,0.95955,0.93536,0.96008,0.78522,0.79786,0.39634,0.89794,0.00023,0.00023,0.00023
20,2476.23,0.76746,0.40684,0.87507,0.96183,0.93252,0.95963,0.78968,0.78325,0.39327,0.8981,0.000215,0.000215,0.000215
21,2539.51,0.77123,0.40654,0.87345,0.9601,0.93848,0.96264,0.78837,0.80397,0.396,0.89894,0.0002,0.0002,0.0002
22,2649.3,0.76319,0.40389,0.87184,0.96133,0.93218,0.96027,0.79459,0.76809,0.39016,0.89466,0.000185,0.000185,0.000185
23,2867.96,0.76144,0.40404,0.87251,0.96125,0.93705,0.96313,0.79666,0.7781,0.39119,0.897,0.00017,0.00017,0.00017
24,2944.69,0.76045,0.39933,0.87045,0.9608,0.93935,0.96213,0.79319,0.77909,0.39055,0.8954,0.000155,0.000155,0.000155
25,3211.19,0.76474,0.40391,0.87282,0.96405,0.93678,0.96317,0.79094,0.78835,0.39072,0.89572,0.00014,0.00014,0.00014
26,3287.47,0.74893,0.38662,0.8679,0.96262,0.93538,0.96165,0.79362,0.77412,0.3897,0.89556,0.000125,0.000125,0.000125
27,3498.97,0.74535,0.38183,0.86801,0.96296,0.93815,0.96363,0.79384,0.78354,0.38898,0.89554,0.00011,0.00011,0.00011
28,87.5653,0.74636,0.39469,0.86789,0.96387,0.93611,0.96261,0.79278,0.79036,0.38903,0.8973,9.5e-05,9.5e-05,9.5e-05
29,243.629,0.7407,0.38459,0.86334,0.96403,0.9354,0.96178,0.79257,0.7778,0.38679,0.89387,8e-05,8e-05,8e-05
30,323.493,0.74975,0.39323,0.86761,0.96163,0.93841,0.96188,0.79517,0.77738,0.38712,0.89453,6.5e-05,6.5e-05,6.5e-05
