source_dataset,class_id,class_name,box_count
asmitha__dataset,0,A,1463
asmitha__dataset,1,B,354
asmitha__dataset,2,C,511
asmitha__dataset,3,D,1184
asmitha__dataset,4,E,2708
asmitha__dataset,5,F,349
asmitha__dataset,6,G,412
asmitha__dataset,7,H,1192
asmitha__dataset,8,I,937
asmitha__dataset,9,J,122
asmitha__dataset,10,K,341
asmitha__dataset,11,L,1283
asmitha__dataset,12,M,471
asmitha__dataset,13,N,1010
asmitha__dataset,14,O,1626
asmitha__dataset,15,P,338
asmitha__dataset,16,Q,1003
asmitha__dataset,17,R,1063
asmitha__dataset,18,S,2051
asmitha__dataset,19,T,936
asmitha__dataset,20,U,343
asmitha__dataset,21,V,722
asmitha__dataset,22,W,198
asmitha__dataset,23,X,230
asmitha__dataset,24,Y,325
asmitha__dataset,25,Z,183
braille_hackathon_siddhant__dataset,0,a,0
braille_hackathon_siddhant__dataset,1,b,0
braille_hackathon_siddhant__dataset,2,c,0
braille_hackathon_siddhant__dataset,3,d,0
braille_hackathon_siddhant__dataset,4,e,0
braille_hackathon_siddhant__dataset,5,f,0
braille_hackathon_siddhant__dataset,6,g,0
braille_hackathon_siddhant__dataset,7,h,0
braille_hackathon_siddhant__dataset,8,i,0
braille_hackathon_siddhant__dataset,9,j,0
braille_hackathon_siddhant__dataset,10,k,0
braille_hackathon_siddhant__dataset,11,l,0
braille_hackathon_siddhant__dataset,12,m,0
braille_hackathon_siddhant__dataset,13,n,0
braille_hackathon_siddhant__dataset,14,o,0
braille_hackathon_siddhant__dataset,15,p,0
braille_hackathon_siddhant__dataset,16,q,0
braille_hackathon_siddhant__dataset,17,r,0
braille_hackathon_siddhant__dataset,18,s,0
braille_hackathon_siddhant__dataset,19,t,0
braille_hackathon_siddhant__dataset,20,u,0
braille_hackathon_siddhant__dataset,21,v,0
braille_hackathon_siddhant__dataset,22,w,0
braille_hackathon_siddhant__dataset,23,x,0
braille_hackathon_siddhant__dataset,24,y,0
braille_hackathon_siddhant__dataset,25,z,0
prabh-decoders-braillevision__dataset__braille_merged,0,a,8435
prabh-decoders-braillevision__dataset__braille_merged,1,b,1888
prabh-decoders-braillevision__dataset__braille_merged,2,c,988
prabh-decoders-braillevision__dataset__braille_merged,3,d,3752
prabh-decoders-braillevision__dataset__braille_merged,4,e,8625
prabh-decoders-braillevision__dataset__braille_merged,5,f,615
prabh-decoders-braillevision__dataset__braille_merged,6,g,1901
prabh-decoders-braillevision__dataset__braille_merged,7,h,1923
prabh-decoders-braillevision__dataset__braille_merged,8,i,6062
prabh-decoders-braillevision__dataset__braille_merged,9,j,1162
prabh-decoders-braillevision__dataset__braille_merged,10,k,3803
prabh-decoders-braillevision__dataset__braille_merged,11,l,4791
prabh-decoders-braillevision__dataset__braille_merged,12,m,2926
prabh-decoders-braillevision__dataset__braille_merged,13,n,5227
prabh-decoders-braillevision__dataset__braille_merged,14,o,9097
prabh-decoders-braillevision__dataset__braille_merged,15,p,2575
prabh-decoders-braillevision__dataset__braille_merged,16,q,2138
prabh-decoders-braillevision__dataset__braille_merged,17,r,4445
prabh-decoders-braillevision__dataset__braille_merged,18,s,5573
prabh-decoders-braillevision__dataset__braille_merged,19,t,5521
prabh-decoders-braillevision__dataset__braille_merged,20,u,2665
prabh-decoders-braillevision__dataset__braille_merged,21,v,730
prabh-decoders-braillevision__dataset__braille_merged,22,w,3280
prabh-decoders-braillevision__dataset__braille_merged,23,x,454
prabh-decoders-braillevision__dataset__braille_merged,24,y,329
prabh-decoders-braillevision__dataset__braille_merged,25,z,1480
sangam-Braillie__dataset,0,A,2503
sangam-Braillie__dataset,1,B,651
sangam-Braillie__dataset,2,C,904
sangam-Braillie__dataset,3,D,1953
sangam-Braillie__dataset,4,E,4369
sangam-Braillie__dataset,5,F,632
sangam-Braillie__dataset,6,G,713
sangam-Braillie__dataset,7,H,1818
sangam-Braillie__dataset,8,I,1661
sangam-Braillie__dataset,9,J,212
sangam-Braillie__dataset,10,K,596
sangam-Braillie__dataset,11,L,2105
sangam-Braillie__dataset,12,M,857
sangam-Braillie__dataset,13,N,1739
sangam-Braillie__dataset,14,O,2690
sangam-Braillie__dataset,15,P,665
sangam-Braillie__dataset,16,Q,1408
sangam-Braillie__dataset,17,R,1789
sangam-Braillie__dataset,18,S,3277
sangam-Braillie__dataset,19,T,1715
sangam-Braillie__dataset,20,U,654
sangam-Braillie__dataset,21,V,1085
sangam-Braillie__dataset,22,W,444
sangam-Braillie__dataset,23,X,375
sangam-Braillie__dataset,24,Y,660
sangam-Braillie__dataset,25,Z,280
