group_id,group_size,retained,excluded_external_benchmark,source_dataset,original_path,sha256,perceptual_hash,dhash,capture_key
group_6c7bc7f80ac78580,3,True,False,prabh_braille_merged,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\prabh-decoders-braillevision\dataset\braille_merged\images\val\yapayzeka_167_3017_jpg.rf.e847fd624d75af0f0c5ce1b57646dfcd.jpg,001c4ee1ed9e24800b1a61f0ec71bf07764788dbeb8fae605940ffa19305523a,d1e965525a7a2aaa,80d0f0f0f8f8f8f8,yapayzeka_167_3017
group_6c7bc7f80ac78580,3,False,False,sangam_braillie,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\sangam-Braillie\dataset\valid\images\3017_jpg.rf.4c8e2800b5fba7eb3e4aafa8563d822a.jpg,001c4ee1ed9e24800b1a61f0ec71bf07764788dbeb8fae605940ffa19305523a,d1e965525a7a2aaa,80d0f0f0f8f8f8f8,3017
group_6c7bc7f80ac78580,3,False,False,asmitha,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\asmitha\dataset\valid\images\3017_jpg.rf.1b88ebf1f17352ad2d99434d104119a4.jpg,7bc9efef80604e9dbe479a92bd2150ddac61eed6721b27193208b2dc85598beb,d1e965525a7a2aaa,80d0f0f0f8f8f8f8,3017
group_d52975a13250f327,1,True,False,sangam_braillie,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\sangam-Braillie\dataset\train\images\IMG20230503105541_jpg.rf.796fb5975560829fc2482127da648873.jpg,002759b8c021e7d4621553529a2834cd9e0c6ccf81e7b629395f193c6ca193e6,95647a99c5d23d68,9cbcccf8f0f0f8f8,img20230503105541
group_89c0c614d6173bd1,4,True,False,prabh_braille_merged,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\prabh-decoders-braillevision\dataset\braille_merged\images\train\yapayzeka_1219_875_jpg.rf.debf1c9b75b3351cac3c404c0197193e.jpg,09ac23a951f4c38e08d8961046258545aa7c18deeb42973a7cb817d3b159dba3,dba5b6a5a5505958,9801000000000000,yapayzeka_1219_875
group_89c0c614d6173bd1,4,False,False,sangam_braillie,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\sangam-Braillie\dataset\train\images\875_jpg.rf.07eb88d5e4bfa52a39eca2d77bf61356.jpg,09ac23a951f4c38e08d8961046258545aa7c18deeb42973a7cb817d3b159dba3,dba5b6a5a5505958,9801000000000000,875
group_89c0c614d6173bd1,4,False,False,sangam_braillie,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\sangam-Braillie\dataset\train\images\875_jpg.rf.279cc0298645a30e62d9b55d5358f3ea.jpg,0028c12d3ba7100f7ab31720ee88ee2327a409b337775176900cd84be935b9de,dba5b6a5a5505958,9801000000000000,875
group_89c0c614d6173bd1,4,False,False,asmitha,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\asmitha\dataset\train\images\875_jpg.rf.cd1b5b05419e4f5e42ea91369d8f8763.jpg,cb08d16c84d25a00c30f2a4eb9dbb738bb5cf8db9ca098ce44a9c7db9d8642b6,dba5b6a5a5505958,9801000000000000,875
group_9b3006ae765e649f,3,True,False,prabh_braille_merged,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\prabh-decoders-braillevision\dataset\braille_merged\images\train\yapayzeka_949_3501_jpg.rf.eedbcf842240e0a9fbde5cb9ed362c26.jpg,f535fc982829612088bd137ddf9530b90bdb6176b4c3511d6be81a223521799b,d1cb6b5a4a6a2aaa,c1e0f0f0f0f0f0f8,yapayzeka_949_3501
group_9b3006ae765e649f,3,False,False,sangam_braillie,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\sangam-Braillie\dataset\train\images\3501_jpg.rf.7ade3eab80a6fca9f6e2ca0cc59e0deb.jpg,9f081e83bf7d0261bce2629f94da25b4a176696ba668cea887599ec9b10814f2,d1cb6d5a4a6a2aaa,c1e0f0f0f0f0f0f8,3501
