stage,confidence,iou,preprocessing,tta,line_clustering,line_tolerance,spacing_multiplier,width_multiplier,duplicate_handling,duplicate_iou,flip_strategy,imgsz,sample_count,cer,wer,character_accuracy,word_accuracy,exact_sentence_accuracy,average_latency_ms,median_latency_ms,objective,precision,recall,map50,map50_95,predictions_json
confidence,0.2,0.45,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.40688259109311736,0.6547619047619048,0.5931174089068826,0.3452380952380952,0.0,336.99050000480685,328.7844000151381,0.5308222479275111,0.9571527152026805,0.9086612742526121,0.9548751554859417,0.7755842542531511,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfind\nindia\nsciobraille\nisukally impaire a\ngreaq project"", ""detections"": 52, ""mean_confidence"": 0.7914944468782499, ""flipped"": false, ""cer"": 0.10526315789473684, ""wer"": 0.7142857142857143}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof iengineerwin"", ""detections"": 24, ""mean_confidence"": 0.7889330846567949, ""flipped"": false, ""cer"": 0.11538461538461539, ""wer"": 0.25}]"
confidence,0.25,0.45,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.40103463787674315,0.6547619047619048,0.5989653621232568,0.3452380952380952,0.0,296.17013333093684,305.984200007515,0.527898271319324,0.9571527152026805,0.9086612742526121,0.9540307420019217,0.7754065826257449,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfind\nindia\nsciobraille\nisually impaire a\ngreaq project"", ""detections"": 51, ""mean_confidence"": 0.8028684848663854, ""flipped"": false, ""cer"": 0.08771929824561403, ""wer"": 0.7142857142857143}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof iengineerwin"", ""detections"": 24, ""mean_confidence"": 0.7889330846567949, ""flipped"": false, ""cer"": 0.11538461538461539, ""wer"": 0.25}]"
confidence,0.3,0.45,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.40103463787674315,0.6547619047619048,0.5989653621232568,0.3452380952380952,0.0,304.81236667643924,313.24070002301596,0.527898271319324,0.9571527152026805,0.9086612742526121,0.9526498668571175,0.7749313903963646,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfind\nindia\nsciobraille\nisually impaire a\ngreaq project"", ""detections"": 51, ""mean_confidence"": 0.8028684848663854, ""flipped"": false, ""cer"": 0.08771929824561403, ""wer"": 0.7142857142857143}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof iengineerwin"", ""detections"": 24, ""mean_confidence"": 0.7889330846567949, ""flipped"": false, ""cer"": 0.11538461538461539, ""wer"": 0.25}]"
confidence,0.35,0.45,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.40103463787674315,0.6547619047619048,0.5989653621232568,0.3452380952380952,0.0,286.3842666556593,315.5943999881856,0.527898271319324,0.9571527152026805,0.9086612742526121,0.9522722859523809,0.7750685117975039,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfind\nindia\nsciobraille\nisually impaire a\ngreaq project"", ""detections"": 51, ""mean_confidence"": 0.8028684848663854, ""flipped"": false, ""cer"": 0.08771929824561403, ""wer"": 0.7142857142857143}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof iengineerwin"", ""detections"": 24, ""mean_confidence"": 0.7889330846567949, ""flipped"": false, ""cer"": 0.11538461538461539, ""wer"": 0.25}]"
confidence,0.4,0.45,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.3951866846603689,0.6071428571428571,0.6048133153396311,0.39285714285714285,0.0,284.5203333320872,295.3655000019353,0.5011647709016129,0.9571985601287569,0.9087759505365216,0.9497358507867502,0.7737687320266311,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfnd\nindia\nsciobraille\nisually impaire\ngreaq project"", ""detections"": 49, ""mean_confidence"": 0.8209044568392695, ""flipped"": false, ""cer"": 0.07017543859649122, ""wer"": 0.5714285714285714}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof iengineerwin"", ""detections"": 24, ""mean_confidence"": 0.7889330846567949, ""flipped"": false, ""cer"": 0.11538461538461539, ""wer"": 0.25}]"
confidence,0.45,0.45,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.3951866846603689,0.6071428571428571,0.6048133153396311,0.39285714285714285,0.0,263.9473666689203,293.14049999811687,0.5011647709016129,0.9571606066102368,0.9087586595191387,0.9486680054368833,0.7734006470622015,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfnd\nindia\nsciobraille\nisually impaire\ngreaq project"", ""detections"": 49, ""mean_confidence"": 0.8209044568392695, ""flipped"": false, ""cer"": 0.07017543859649122, ""wer"": 0.5714285714285714}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof iengineerwin"", ""detections"": 24, ""mean_confidence"": 0.7889330846567949, ""flipped"": false, ""cer"": 0.11538461538461539, ""wer"": 0.25}]"
confidence,0.5,0.45,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.3695456590193433,0.6071428571428571,0.6304543409806568,0.39285714285714285,0.0,295.22180000397685,310.9751000010874,0.48834425808110016,0.959635810202005,0.9069246404513891,0.947241712906712,0.7726916010517962,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfnd\nindia\nsciobraille\nisually impaire\ngreaq project"", ""detections"": 49, ""mean_confidence"": 0.8209044568392695, ""flipped"": false, ""cer"": 0.07017543859649122, ""wer"": 0.5714285714285714}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof engineerin"", ""detections"": 22, ""mean_confidence"": 0.8170912211591547, ""flipped"": false, ""cer"": 0.038461538461538464, ""wer"": 0.25}]"
iou,0.5,0.3,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.3695456590193433,0.6071428571428571,0.6304543409806568,0.39285714285714285,0.0,286.9279000054424,301.237100007711,0.48834425808110016,0.959635810202005,0.9069246404513891,0.947241712906712,0.7726916010517962,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfnd\nindia\nsciobraille\nisually impaire\ngreaq project"", ""detections"": 49, ""mean_confidence"": 0.8209044568392695, ""flipped"": false, ""cer"": 0.07017543859649122, ""wer"": 0.5714285714285714}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof engineerin"", ""detections"": 22, ""mean_confidence"": 0.8170912211591547, ""flipped"": false, ""cer"": 0.038461538461538464, ""wer"": 0.25}]"
iou,0.5,0.35,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.3695456590193433,0.6071428571428571,0.6304543409806568,0.39285714285714285,0.0,282.4202333285939,301.80149999796413,0.48834425808110016,0.959635810202005,0.9069246404513891,0.947241712906712,0.7726916010517962,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfnd\nindia\nsciobraille\nisually impaire\ngreaq project"", ""detections"": 49, ""mean_confidence"": 0.8209044568392695, ""flipped"": false, ""cer"": 0.07017543859649122, ""wer"": 0.5714285714285714}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof engineerin"", ""detections"": 22, ""mean_confidence"": 0.8170912211591547, ""flipped"": false, ""cer"": 0.038461538461538464, ""wer"": 0.25}]"
iou,0.5,0.4,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.3695456590193433,0.6071428571428571,0.6304543409806568,0.39285714285714285,0.0,277.4094000051264,284.98950001085177,0.48834425808110016,0.959635810202005,0.9069246404513891,0.947241712906712,0.7726916010517962,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfnd\nindia\nsciobraille\nisually impaire\ngreaq project"", ""detections"": 49, ""mean_confidence"": 0.8209044568392695, ""flipped"": false, ""cer"": 0.07017543859649122, ""wer"": 0.5714285714285714}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof engineerin"", ""detections"": 22, ""mean_confidence"": 0.8170912211591547, ""flipped"": false, ""cer"": 0.038461538461538464, ""wer"": 0.25}]"
iou,0.5,0.45,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.3695456590193433,0.6071428571428571,0.6304543409806568,0.39285714285714285,0.0,268.91856666770764,286.19540002546273,0.48834425808110016,0.959635810202005,0.9069246404513891,0.947241712906712,0.7726916010517962,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfnd\nindia\nsciobraille\nisually impaire\ngreaq project"", ""detections"": 49, ""mean_confidence"": 0.8209044568392695, ""flipped"": false, ""cer"": 0.07017543859649122, ""wer"": 0.5714285714285714}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof engineerin"", ""detections"": 22, ""mean_confidence"": 0.8170912211591547, ""flipped"": false, ""cer"": 0.038461538461538464, ""wer"": 0.25}]"
iou,0.5,0.5,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.3695456590193433,0.6071428571428571,0.6304543409806568,0.39285714285714285,0.0,267.31070001066354,273.77130000968464,0.48834425808110016,0.959635810202005,0.9069246404513891,0.947241712906712,0.7726916010517962,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfnd\nindia\nsciobraille\nisually impaire\ngreaq project"", ""detections"": 49, ""mean_confidence"": 0.8209044568392695, ""flipped"": false, ""cer"": 0.07017543859649122, ""wer"": 0.5714285714285714}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof engineerin"", ""detections"": 22, ""mean_confidence"": 0.8170912211591547, ""flipped"": false, ""cer"": 0.038461538461538464, ""wer"": 0.25}]"
iou,0.5,0.55,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.3695456590193433,0.6071428571428571,0.6304543409806568,0.39285714285714285,0.0,290.66986667263944,331.1872000049334,0.48834425808110016,0.959635810202005,0.9069246404513891,0.947241712906712,0.7726916010517962,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfnd\nindia\nsciobraille\nisually impaire\ngreaq project"", ""detections"": 49, ""mean_confidence"": 0.8209044568392695, ""flipped"": false, ""cer"": 0.07017543859649122, ""wer"": 0.5714285714285714}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof engineerin"", ""detections"": 22, ""mean_confidence"": 0.8170912211591547, ""flipped"": false, ""cer"": 0.038461538461538464, ""wer"": 0.25}]"
iou,0.5,0.6,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.3695456590193433,0.6071428571428571,0.6304543409806568,0.39285714285714285,0.0,279.3331333280851,295.02819999470375,0.48834425808110016,0.959635810202005,0.9069246404513891,0.947241712906712,0.7726916010517962,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfnd\nindia\nsciobraille\nisually impaire\ngreaq project"", ""detections"": 49, ""mean_confidence"": 0.8209044568392695, ""flipped"": false, ""cer"": 0.07017543859649122, ""wer"": 0.5714285714285714}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof engineerin"", ""detections"": 22, ""mean_confidence"": 0.8170912211591547, ""flipped"": false, ""cer"": 0.038461538461538464, ""wer"": 0.25}]"
preprocessing,0.5,0.5,raw,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.40688259109311736,0.6547619047619048,0.5931174089068826,0.3452380952380952,0.0,160.1853999988331,157.8704999992624,0.5308222479275111,,,,,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihf d\nindia\nsciobraille\nisuall impaire\ngreaq project"", ""detections"": 47, ""mean_confidence"": 0.7765750238235961, ""flipped"": false, ""cer"": 0.10526315789473684, ""wer"": 0.7142857142857143}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof ingineerwin"", ""detections"": 23, ""mean_confidence"": 0.7570544403532277, ""flipped"": false, ""cer"": 0.11538461538461539, ""wer"": 0.25}]"
preprocessing,0.5,0.5,raw,True,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.40688259109311736,0.6071428571428571,0.5931174089068826,0.39285714285714285,0.0,396.3910666740655,406.9931000121869,0.5070127241179873,,,,,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihifqd\nindia\nsciobraille\nisuall impaire\ngreaqt project"", ""detections"": 50, ""mean_confidence"": 0.8426782667636872, ""flipped"": false, ""cer"": 0.10526315789473684, ""wer"": 0.5714285714285714}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof eingineerwin"", ""detections"": 24, ""mean_confidence"": 0.7994818290074667, ""flipped"": false, ""cer"": 0.11538461538461539, ""wer"": 0.25}]"
preprocessing,0.5,0.5,current_production,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.3695456590193433,0.6071428571428571,0.6304543409806568,0.39285714285714285,0.0,279.12550000473857,299.6469000063371,0.48834425808110016,,,,,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihfnd\nindia\nsciobraille\nisually impaire\ngreaq project"", ""detections"": 49, ""mean_confidence"": 0.8209044568392695, ""flipped"": false, ""cer"": 0.07017543859649122, ""wer"": 0.5714285714285714}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof engineerin"", ""detections"": 22, ""mean_confidence"": 0.8170912211591547, ""flipped"": false, ""cer"": 0.038461538461538464, ""wer"": 0.25}]"
preprocessing,0.5,0.5,current_production,True,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.38236617183985605,0.5595238095238095,0.617633828160144,0.44047619047619047,0.0,491.1476666651045,503.4421000164002,0.4709449906818328,,,,,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihifnqd\nindia\nsciobraille\nisually impaired\ngreaqt project"", ""detections"": 53, ""mean_confidence"": 0.8538882192575706, ""flipped"": false, ""cer"": 0.07017543859649122, ""wer"": 0.42857142857142855}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof engineerwin"", ""detections"": 23, ""mean_confidence"": 0.8449740928152333, ""flipped"": false, ""cer"": 0.07692307692307693, ""wer"": 0.25}]"
preprocessing,0.5,0.5,bilateral,False,adaptive,0.6,1.8,1.35,model_nms,0.7,benchmark_metadata,640,3,0.3882141250562303,0.6547619047619048,0.6117858749437697,0.3452380952380952,0.0,185.07813334387416,180.8622000098694,0.5214880149090675,,,,,"[{""id"": ""scio_known_01"", ""raw_text"": ""jaihf d\nindia\nsciobraille\nisually impaire\ngreaq project"", ""detections"": 48, ""mean_confidence"": 0.8128857004145781, ""flipped"": false, ""cer"": 0.08771929824561403, ""wer"": 0.7142857142857143}, {""id"": ""dmi_root_01"", ""raw_text"": """", ""detections"": 0, ""mean_confidence"": 0.0, ""flipped"": true, ""cer"": 1.0, ""wer"": 1.0}, {""id"": ""dmi_flipped_01"", ""raw_text"": ""dmi college\nof eingineerin"", ""detections"": 23, ""mean_confidence"": 0.7527057191599971, ""flipped"": false, ""cer"": 0.07692307692307693, ""wer"": 0.25}]"
